Num,Artist,Title,Album,Year,Date,Lyric
525,Justin Bieber,Where Are You Now,My World 2.0,2010,2010-03-19,where are you now when i need you the most why don't you take my hand i want to be close help me when i am down lift me up off the ground teach me right from wrong help me to stay strong   so take my hand and walk with me show me what to be i need you to set me free yeah where are you now   where are you now now that i'm half grown why are we far apart i feel so alone where are you now when nothing's going right where are you now i can't see the light   so take my hand and walk with me show me what to be i need you to set me free yeah   i need you to need me can't you see me how could you leave me my heart is half empty i'm not whole when you're not with me i want you here with me to guide me hold me and love me now where are you now oh where are you now   so take my hand and walk with me show me what to be i need you to set me free yeah oh where are you now   yeah yeah oh oh yeah
526,Justin Bieber,At Least For Now,Changes,2020,2020-02-14,i'm concerned when you look at my face you're excited for no reason i look lost with a drink in my hand what you think is fair ain't even even it's cold outside from my expression take the scarf and wrap it around my neck loosen up my tie   at least for now trying to avoid disappointment at least for now one finger at a time i turn the pages yeah   right leg crossed while you're smokin' a cigarette camera's on the couch ain't nobody takin' pictures throw my arms around you bear witness the stripes on my shirt can you read between the lines you sip champagne while i sip on red wine never mind me watchin' you never mind the tension please excuse me while i dance i forgot to mention i'm going on strike   at least for now trying to avoid disappointment at least for now   yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah yeah yeahyeah yeahyeah yeahyeah at least for now at least for now oh
527,Justin Bieber,Die in Your Arms,Believe,2012,2012-05-29,mhmm uhhuh yeah yeah alright mhmm uhhuh yeah yeah alright   say you love me as much as i love you yeah would you hurt me baby could you do that to me yeah would you lie to me baby cause the truth hurts so much more would you do the things that drive me crazy leave my heart still at the door  pre oh i can't help it i'm just selfish there's no way that i could share you that would break my heart to pieces honestly the truth is   if i could just die in your arms i wouldn't mind cause everytime you touch me i just die in your arms ooh it feels so right so baby baby please don't stop girl  interlude ooh baby i know loving you ain't easy mhmm uhhuh yeah yeah alright but it sure is worth a try mhmm uhhuh yeah yeah alright   ooh if there is a reason to call me a fool cause i love too hard are there any rules baby if this is a lesson then baby teach me to behave just tell me what i gotta do just to stay right next to you  pre oh i can't help it i'm just selfish there's no way that i could share you that would break my heart to pieces honestly the truth is   if i could just die in your arms i wouldn't mind cause everytime you touch me i just die in your arms ooh it feels so right so baby baby please don't stop girl   basically i'm staying here i can't live without my baby loving you is so damn easy for me yeah ain't no need for contemplating promise you won't keep me waiting tell me baby i'm all that you need   if i could just die in your arms i wouldn't mind cause everytime you touch me i just die in your arms ooh it feels so right so baby baby please don't stop girl if i could just die in your arms i wouldn't mind cause everytime you touch me i just die in your arms ooh it feels so right so baby baby please don't stop girl   if i could die in your arms i'ma make you believe girl i wouldn't mind ay ay ay oh don't stop baby no it's what you do to me yeah woah no no no ooh woah baby please don't go girl don't go no no no
528,Justin Bieber,One Less Lonely Girl,My World - EP,2009,2009-10-06,alright let's go there's gonna be one less lonely girl one less lonely girl one less lonely girl one less lonely girl there's gonna be one less lonely girl one less lonely girl one less lonely girl   how many i told yous and start overs and shoulders have you cried on before how many promises be honest girl how many tears you let hit the floor how many bags you packed just to take him back tell me that how many either ors but no more if you let me inside of your world there'll be one less lonely girl  pre oh oh saw so many pretty faces before i saw you you now all i see is you i'm coming for you i'm coming for you no no don't need these other pretty faces like i need you and when you're mine in the world there's gonna be one less lonely girl   i'm coming for you one less lonely girl i'm coming for you one less lonely girl i'm coming for you one less lonely girl there's gonna be one less lonely girl i'm coming for you i'm going to put you first i'm coming for you i'll show you what you're worth that's what i'm gonna do if you let me inside of your world there's gonna be one less lonely girl   christmas wasn't merry 4th of february not one of 'em spent with you how many dinner dates set dinner plates and he didn't even touch his food how many torn photographs i saw you taping back tell me that you couldn't see an open door but no more if you let me inside of your world there'll be one less lonely girl  pre oh oh saw so many pretty faces before i saw you you now all i see is you i'm coming for you i'm coming for you no no don't need these other pretty faces like i need you and when you're mine in this world there's gonna be one less lonely girl   i'm coming for you one less lonely girl i'm coming for you one less lonely girl i'm coming for you one less lonely girl there's gonna be one less lonely girl i'm coming for you i'm going to put you first i'm coming for you i'll show you what you're worth that's what i'm gonna do if you let me inside of your world there's gonna be one less lonely girl   i can fix up your broken heart i can give you a brand new start i can make you believe yeah i just want to set one girl free to fall free to fall she's free to fall fall in love with me her heart's locked and know what i got the key i'll take her and leave the world with one less lonely there's gonna be one less lonely girl one less lonely girl one less lonely girl one less lonely girl there's gonna be one less lonely girl one less lonely girl one less lonely girl   i'm coming for you one less lonely girl i'm coming for you one less lonely girl i'm coming for you one less lonely girl there's gonna be one less lonely girl i'm coming for you i'm going to put you first i'm coming for you i'll show you what you're worth that's what i'm gonna do if you let me inside of your world there's gonna be one less lonely girl  i'm coming for you one less lonely girl i'm coming for you one less lonely girl i'm coming for you one less lonely girl there's gonna be one less lonely girl i'm coming for you i'm going to put you first i'm coming for you i'll show you what you're worth that's what i'm gonna do if you let me inside of your world there's gonna be one less lonely girl   only you shawty
529,Justin Bieber,One Time,My World - EP,2009,2009-05-18,me plus you i'ma tell you one time me plus you one time i'ma tell you one time me plus you one time i'ma tell you one time one time one time   when i met you girl my heart went knock knock now them butterflies in my stomach won't stop stop and even though it's a struggle love is all we got so we gon' keep keep climbing to the mountain top  pre your world is my world and my fight is your fight and my breath is your breath when you're hurt i'm not right   and girl you're my one love my one heart my one life for sure let me tell you one time girl i love girl i love you i'ma tell you one time girl i love girl i love you and i'ma be your one guy you'll be my number one girl always making time for you i'ma tell you one time girl i love girl i love you i'ma tell you one time girl i love girl i love you   your love's so deep you know that it humbles me you're by my side them troubles them not trouble me many have called but the chosen is you whatever you want shawty i'll give it to you  pre your world is my world and my fight is your fight and my breath is your breath when you're hurt i'm not right   and girl you're my one love my one heart my one life for sure let me tell you one time girl i love girl i love you i'ma tell you one time girl i love girl i love you and i'ma be your one guy you'll be my number one girl always making time for you i'ma tell you one time girl i love girl i love you i'ma tell you one time girl i love girl i love you   shawty right there she's got everything i need and i'ma tell her one time one time one time give you everything you need down to my last dime she makes me happy i know where i'll be right by your side 'cause she is the one for me yeah   and girl you're my one love my one heart my one life for sure let me tell you one time girl i love girl i love you i'ma tell you one time girl i love girl i love you and i'ma be your one guy you'll be my number one girl always making time for you i'ma tell you one time girl i love girl i love you i'ma tell you one time girl i love girl i love you   me plus you i'ma tell you one time me plus you i'ma tell you one time me plus you i'ma tell you one time one time one time
530,Justin Bieber,Favorite Girl,My World - EP,2009,2009-11-02,i always knew you were the best the coolest girl i know so prettier than all the rest the star of my show so many times i wished you'd be the one for me but never knew you'd get like this girl what'd you do to me  pre you're who i'm thinking of and girl you ain't my runnerup and no matter what you're always number one   my prize possession one and only adore you girl i want you the one i can't live without that's you that's you you're my special little lady the one that makes me crazy of all the girls i've ever known it's you it's you my favorite my favorite my favorite my favorite girl my favorite girl   you're used to going out your way to impress these mr wrongs but you can be yourself with me i'll take you as you are i know they said believe in love it's a dream that cant be real so girl let's write a fairytale and show 'em how we feel  pre you're who i'm thinking of and girl you ain't my runnerup and no matter what you're always number one   my prize possession one and only adore you girl i want you the one i can't live without that's you that's you you're my special little lady the one that makes me crazy of all the girls i've ever known it's you it's you i want you it's you it's you my favorite my favorite my favorite my favorite girl my favorite girl   you take my breath away with everything you say i just want to be with you my baby my baby ohoh promise i'll play no games treat you no other way than you deserve 'cause you're the girl of my dreams  breakdown my prize possession one and only adore you girl i want you the one i can't live without that's you that's you you're my special little lady the one that makes me crazy of all the girls i've ever known it's you it's you   my prize possession one and only adore you girl i want you i want you oh the one i can't live without that's you that's you you're my special little lady my special little lady the one that makes me crazy the one that makes me crazy of all the girls i've ever known it's you it's you you're my favorite girl my favorite my favorite favorite girl my favorite my favorite girl favorite girl my favorite girl favorite girl my favorite my favorite favorite girl my favorite my favorite girl favorite girl my favorite girl favorite girl
531,Katy Perry,Swish Swish,Witness,2017,2017-05-19,refrain they know what is what but they don't know what is what they just strut what the fuck   katy perry a tiger don't lose no sleep don't need opinions from a shellfish or a sheep don't you come for me no not today you're calculated i got your number 'cause you're a joker and i'm a courtside killer queen and you will kiss the ring you best believe  pre katy perry so keep calm honey i'ma stick around for more than a minute get used to it funny my name keeps comin' outcho mouth 'cause i stay winning lay 'em up like   katy perry swish swish bish another one in the basket can't touch this another one in the casket   katy perry your game is tired you should retire you're 'bout cute as an old coupon expired and karma's not a liar she keeps receipts  pre katy perry so keep calm honey i'ma stick around for more than a minute get used to it funny my name keeps comin' outcho mouth 'cause i stay winning lay 'em up like   katy perry swish swish bish another one in the basket can't touch this another one in the casket swish swish bish another one in the basket can't touch this another one in the casket  refrain they know what is what but they don't know what is what katy perry they just know what is what young money but they don't know what is what they just know what is what but they don't know what is what they just strut hahaha yo what the fuck   nicki minaj pink ferragamo sliders on deck silly rap beefs just get me more checks my life is a movie i'm never off set me and my amigos no not offset swish swish aww i got them upset but my shooters'll make 'em dance like dubstep swish swish aww my haters is obsessed 'cause i make m's they get much less don't be tryna double back i already despise you all that fake love you showin' couldn't even disguise you ran when nicki gettin' tan mirror mirror who's the fairest bitch in all the land damn man this bitch is a stan muah muah the generous queen will kiss a fan ass goodbye i'ma be riding by i'ma tell my  biggz yeah that's tha guy a star's a star da ha da ha they never thought the swish god would take it this far get my pimp cup this is pimp shit baby i only rock with queens so i'm makin' hits with katy   katy perry swish swish bish another one in the basket can't touch this another one in the casket  refrain they know what is what do they know but they don't know what is what they just know what is what but they don't know what is what they just know what is what but they don't know what is what they just strut what the
532,Katy Perry,Chained to the Rhythm,Witness,2017,2017-02-10,katy perry are we crazy living our lives through a lens trapped in our white picket fence like ornaments so comfortable we're living in a bubble bubble so comfortable we cannot see the trouble trouble aren't you lonely up there in utopia where nothing will ever be enough happily numb so comfortable we're living in a bubble bubble so comfortable we cannot see the trouble trouble  pre katy perry so put your rosecolored glasses on and party on   katy perry turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm   katy perry are we tone deaf keep sweeping it under the mat thought we could do better than that i hope we can so comfortable we're living in a bubble bubble so comfortable we cannot see the trouble trouble  pre katy perry so put your rosecolored glasses on and party on   katy perry turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm   skip marley it is my desire break down the walls to connect inspire ay up in your high place liars time is ticking for the empire the truth they feed is feeble as so many times before they greed over the people they stumbling and fumbling and we're about to riot they woke up they woke up the lions woo   katy perry turn it up it's your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think we're free drink this one is on me we're all chained to the rhythm to the rhythm to the rhythm   katy perry turn it up turn it up it goes on and on and on it goes on and on and on it goes on and on and on 'cause we're all chained to the rhythm
533,Katy Perry,Dark Horse,PRISM,2013,2013-10-18,juicy j yeah ya'll know what it is katy perry juicy j uhhuh let's rage   katy perry i knew you were you were gonna come to me and here you are but you better choose carefully 'cause i i'm capable of anything of anything and everything make me your aphrodite make me your one and only but don't make me your enemy enemy your enemy your enemy your enemy   katy perry so you wanna play with magic boy you should know what you're fallin' for baby do you dare to do this 'cause i'm coming at you like a dark horse are you ready for ready for a perfect storm perfect storm 'cause once you're mine once you're mine there's no going back   katy perry mark my words this love will make you levitate like a bird like a bird without a cage we're down to earth if you choose to walk away don't walk away walk away it's in the palm of your hand now baby it's a yes or a no no maybe so just be sure before you give it all to me all to me give it all to me   katy perry so you wanna play with magic boy you should know what you're fallin' for baby do you dare to do this 'cause i'm coming at you like a dark horse are you ready for ready for a perfect storm perfect storm 'cause once you're mine once you're mine there's no going back   juicy j she's a beast i call her karma come back she eat your heart out like jeffrey dahmer woo be careful try not to lead her on shawty's heart is on steroids 'cause her love is so strong you may fall in love when you meet her meet her if you get the chance you better keep her keep her she's sweet as pie but if you break her heart she turn cold as a freezer freezer that fairy tale ending with a knight in shining armor she can be my sleeping beauty i'm gon' put her in a coma woo damn i think i love her shawty's so bad i'm sprung and i don't care she ride me like a roller coaster turn the bedroom into a fair a fair her love is like a drug i was tryna hit it and quit it but lil mama so dope i messed around and got addicted   katy perry so you wanna play with magic boy you should know what you're fallin' for you should know baby do you dare to do this 'cause i'm coming at you like a dark horse like a dark horse are you ready for ready for ready for a perfect storm perfect storm a perfect storm 'cause once you're mine once you're mine there's no going back  produced by max martin and dr luke video directed by matthew cullen
534,Katy Perry,Bon Appetit,Witness,2017,2017-04-28,quavo ayy yeah katy perry migos ayy   katy perry 'cause i'm all that you want boy all that you can have boy got me spread like a buffet bon a bon appetit baby appetite for seduction fresh out the oven melt in your mouth kind of lovin' bon a bon appetit baby woo   katy perry looks like you've been starving you've got those hungry eyes woo you could use some sugar 'cause your levels ain't right woo i'm a fivestar michelin a kobe flown in woo you want what i'm cooking boy  pre katy perry let me take you woo under candlelight we can wine and dine a table for two and it's okay woo if you take your time eat with your hands fine i'm on the menu   katy perry 'cause i'm all that you want boy all that you can have boy got me spread like a buffet bon a bon appetit baby appetite for seduction fresh out the oven melt in your mouth kind of lovin' bon a bon appetit baby woo   katy perry  quavo so you want some more well i'm open 4 woo wanna keep you satisfied customer's always right woo hope you've got some room for the world's best cherry pie woo gonna hit that sweet tooth ayy boy  pre katy perry quavo  both let me take you woo under candlelight we can wine and dine a table for two and it's okay woo if you take your time ayy eat with your hands fine yeah i'm on the menu go ahead   katy perry  quavo 'cause i'm all that you want boy all that you want all that you can have boy ayy got me spread like a buffet bon a bon appetit baby bon appetit appetite for seduction fresh out the oven fresh out the oven melt in your mouth kind of lovin' bon appetit baby 'cause i'm all that you want boy all that you can have boy got me spread like a buffet bon a bon appetit baby bon appetit appetite for seduction fresh out the oven melt in your mouth kind of lovin' bon a bon appetit baby quavo   quavo sweet potato pie it'll change your mind change got you running back for seconds running every single night  4 takeoff i'm the one they say can change your life takeoff no waterfall she drippin' wet you like my ice blast she say she want a migo night now i ask her what's the price hold on if she do right told her get whatever you like  5 offset offset i grab her legs and now divide aight make her do a donut when she ride aight looking at the eyes of a dime make you blind in her spine and my diamonds change the climate  6 quavo  katy perry sweet tooth no tooth fairy whipped cream no dairy got her hot light on screaming i'm ready but no horses no carriage   katy perry  quavo 'cause i'm all that you want boy all that you want all that you can have boy oh got me spread like a buffet bon a bon appetit baby eat it up eat it up eat it up appetite for seduction yeah yeah yeah fresh out the oven melt in your mouth kind of lovin' bon a bon appetit baby bon appetit   quavo  katy perry under candlelight yeah woo bon appetit baby
535,Katy Perry,Roar,PRISM,2013,2013-08-10,i used to bite my tongue and hold my breath scared to rock the boat and make a mess so i sat quietly agreed politely i guess that i forgot i had a choice i let you push me past the breaking point i stood for nothing so i fell for everything  pre you held me down but i got up hey already brushing off the dust you hear my voice your hear that sound like thunder gonna shake the ground you held me down but i got up hey get ready cause i had enough i see it all i see it now   i got the eye of the tiger a fighter dancing through the fire 'cause i am a champion and youre gonna hear me roar louder louder than a lion 'cause i am a champion and youre gonna hear me roar  post oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar   now im floating like a butterfly stinging like a bee i earned my stripes i went from zero to my own hero  pre you held me down but i got up hey already brushing off the dust you hear my voice you hear that sound like thunder gonna shake the ground you held me down but i got up got up get ready 'cause i've had enough i see it all i see it now   i got the eye of the tiger a fighter dancing through the fire 'cause i am a champion and youre gonna hear me roar louder louder than a lion 'cause i am a champion and youre gonna hear me roar  post oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh you'll hear me roar oh oh oh oh oh oh oh youre gonna hear me roar   roar roar roar roar roar   i got the eye of the tiger a fighter dancing through the fire 'cause i am a champion and youre gonna hear me roar oh louder louder than a lion 'cause i am a champion and youre gonna hear me roar  post oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh yeah youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh you'll hear me roar oh oh oh oh oh oh oh youre gonna hear me roar  video directed by grady hall  mark kudsi produced by dr luke  max martin
536,Katy Perry,Never Really Over,Smile (Fan Edition),2019,2019-05-31,i'm losing my selfcontrol yeah youre starting to trickle back in but i don't wanna fall down the rabbit hole cross my heart i won't do it again  pre i tell myself tell myself tell myself draw the line and i do i do but once in a while i trip up and i cross the line and i think of you   two years and just like that my head still takes me back thought it was done but i guess its never really over oh we were such a mess but wasn't it the best thought it was done but i guess it's never really over  post just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again just because its over doesnt mean it's really over and if i think it over maybe youll be coming over again and i'll have to get over you all over again   i guess i could try hypnotherapy i gotta rewire this brain 'cause i can't even go on the internet without even checking your name  pre i tell myself tell myself tell myself draw the line and i do i do but once in a while i trip up and i cross the line i think of you   two years and just like that my head still takes me back thought it was done but i guess its never really over oh we were such a mess but wasn't it the best thought it was done but i guess it's never really over  post just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again   thought we kissed goodbye thought we meant this time was the last but i guess it's never really over thought we drew the line right through you and i can't keep going back i guess it's never really over yeah   two years and just like that my head still takes me back thought it was done but i guess it's never really over  post just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again and i'll have to get over you all over again just because it's over doesn't mean it's really over and if i think it over maybe you'll be coming over again and i'll have to get over you all over again over you all over again   thought we kissed goodbye thought we meant this time was the last but i guess it's never really over thought we drew the line right through you and i can't keep going back i guess it's never really over
537,Katy Perry,Firework,Teenage Dream,2010,2010-08-24,do you ever feel like a plastic bag drifting through the wind wanting to start again do you ever feel feel so paperthin like a house of cards one blow from caving in do you ever feel already buried deep six feet under screams but no one seems to hear a thing do you know that there's still a chance for you 'cause there's a spark in you  pre you just gotta ignite the light and let it shine just own the night like the fourth of july   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   you don't have to feel like a waste of space you're original cannot be replaced if you only knew what the future holds after a hurricane comes a rainbow maybe a reason why all the doors are closed so you could open one that leads you to the perfect road like a lightning bolt your heart will glow and when it's time you'll know  pre you just gotta ignite the light and let it shine just own the night like the fourth of july   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   boom boom boom even brighter than the moon moon moon it's always been inside of you you you and now it's time to let it through   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   boom boom boom even brighter than the moon moon moon boom boom boom even brighter than the moon moon moon
538,Katy Perry,The One That Got Away,Teenage Dream,2010,2010-08-24,summer after high school when we first met we'd make out in your mustang to radiohead and on my 8th birthday we got matching tattoos used to steal your parents' liquor and climb to the roof talk about our future like we had a clue never planned that one day i'd be losing you   in another life i would be your girl we'd keep all our promises be us against the world in another life i would make you stay so i don't have to say you were the one that got away the one that got away   i was june and you were my johnny cash never one without the other we made a pact sometimes when i miss you i put those records on whoa someone said you had your tattoo removed saw you downtown singing the blues it's time to face the music i'm no longer your muse   but in another life i would be your girl we'd keep all our promises be us against the world in another life i would make you stay so i don't have to say you were the one that got away the one that got away  post the one the one the one the one that got away   all this money can't buy me a time machine no can't replace you with a million rings no i should've told you what you meant to me whoa 'cause now i pay the price   in another life i would be your girl we'd keep all our promises be us against the world in another life i would make you stay so i don't have to say you were the one that got away the one that got away  post the one the one the one the one the one the one in another life i would make you stay so i don't have to say you were the one that got away the one that got away
539,Katy Perry,Rise,NOW That’s What I Call Music! 60 [US],2016,2016-07-15,i won't just survive oh you will see me thrive can write my story i'm beyond the archetype i won't just conform no matter how you shake my core cause my roots they run deep oh  pre  oh ye of so little faith don't doubt it don't doubt it victory is in my veins i know it i know it and i will not negotiate i'll fight it i'll fight it i will transform   when when the fire's at my feet again and the vultures all start circling they're whispering you're out of time but still i rise this is no mistake no accident when you think the final nail is in think again don't be surprised i will still rise   i must stay conscious through the madness and chaos so i call on my angels they say  pre  oh ye of so little faith don't doubt it don't doubt it victory is in your veins you know it you know it and you will not negotiate just fight it just fight it and be transformed   cause when when the fire's at my feet again and the vultures all start circling they're whispering you're out of time but still i rise this is no mistake no accident when you think the final nail is in think again don't be surprised i will still rise   don't doubt it don't doubt it oh oh oh oh you know it you know it still rise just fight it just fight it don't be surprised i will still rise
540,Katy Perry,E.T. (Remix),Teenage Dream: The Complete Confection,2011,2011-02-16,kanye west i got a dirty mind i got filthy ways im tryna bathe my ape in your milky way im a legend i'm irreverent i be reverend ill be so faaaaaar up we don't give a fuhuhuck welcome to the danger zone step into the fantasy you are not invited to the other side of sanity they callin' me an alien a big headed astronaut maybe it's because ya boy yeezy get ass a lot   katy perry youre so hypnotizing could you be the devil could you be an angel your touch magnetizing feels like i am floating leaves my body glowing they say be afraid youre not like the others futuristic lover different dna they dont understand you  pre katy perry you're from a whole 'nother world a different dimension you open my eyes and im ready to go lead me into the light   katy perry kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be a victim ready for abduction boy youre an alien your touch so foreign its supernatural extraterrestrial   katy perry you're so supersonic wanna feel your powers stun me with your lasers your kiss is cosmic every move is magic  pre katy perry you're from a whole 'nother world a different dimension you open my eyes and im ready to go lead me into the light   katy perry kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be a victim ready for abduction boy youre an alien your touch so foreign its supernatural extraterrestrial   kanye west i know a bar out in mars where they driving spaceships instead of cars cop a prada space suit up out the stars getting stupid high straight up out the jars pockets on shrek rockets on deck tell me what's next alien sex i'mma disrobe you then i'mma probe you see i abducted you so i tell you what to do i tell you what to do what to do what to do   katy perry kiss me kikikiss me infect me with your lovin' fill me with your poison take me tatatake me wanna be a victim ready for abduction boy youre an alien your touch so foreign its supernatural extraterrestrial extraterrestrial extraterrestrial   katy perry boy youre an alien your touch so foreign its supernatural extraterrestrial
541,Katy Perry,I Kissed a Girl,One of the Boys,2008,2008-04-28,this was never the way i planned not my intention i got so brave drink in hand lost my discretion it's not what i'm used to just wanna try you on i'm curious for you caught my attention   i kissed a girl and i liked it the taste of her cherry chapstick i kissed a girl just to try it i hope my boyfriend don't mind it it felt so wrong it felt so right don't mean i'm in love tonight i kissed a girl and i liked it i liked it   no i don't even know your name it doesn't matter you're my experimental game just human nature it's not what good girls do not how they should behave my head gets so confused hard to obey   i kissed a girl and i liked it the taste of her cherry chapstick i kissed a girl just to try it i hope my boyfriend don't mind it it felt so wrong it felt so right don't mean i'm in love tonight i kissed a girl and i liked it i liked it   us girls we are so magical soft skin red lips so kissable hard to resist so touchable too good to deny it ain't no big deal it's innocent   i kissed a girl and i liked it the taste of her cherry chapstick i kissed a girl just to try it i hope my boyfriend don't mind it it felt so wrong it felt so right don't mean i'm in love tonight i kissed a girl and i liked it i liked it
542,Katy Perry,California Gurls,Teenage Dream,2010,2010-05-07,snoop dogg greetings loved ones let's take a journey   katy perry i know a place where the grass is really greener warm wet and wild there must be something in the water sipping gin and juice laying underneath the palm trees undone the boys break their necks tryna creep a little sneak peek at us  pre katy perry you could travel the world but nothing comes close to the golden coast once you party with us you'll be falling in love ohohohohohohoh   katy perry california girls we're unforgettable daisy dukes bikinis on top sunkissed skin so hot we'll melt your popsicle ohohohohoh ohohohohohohoh california girls we're undeniable fine fresh fierce we got it on lock west coast represent now put your hands up ohohohohoh ohohohohohohoh   katy perry sex sex on the beach we don't mind sand in our stilettos we freak in my jeep horn honks snoop doggy dogg on the stereo ohoh  pre katy perry you could travel the world you could travel the world but nothing comes close to the golden coast once you party with us once you party with us you'll be falling in love ohohohohohohoh   katy perry  snoop dogg california girls we're unforgettable california daisy dukes bikinis on top sunkissed skin so hot we'll melt your popsicle ohohohohoh ohohohohohohoh california girls california we're undeniable fine fresh fierce we got it on lock west coast represent west coast now put your hands up ohohohohoh ohohohohohohoh   snoop dogg  katy perry both toned tan fit and ready turn it up cause it's getting heavy wild wild west coast these are the girls i love the most i mean the ones i mean like she's the one kiss her touch her squeeze her buns uh the girl's a freak she drive a jeep and live on the beach i'm okay i won't play i love the bay just like i love la venice beach and palm springs summertime is everything homeboys banging out all that ass hanging out bikinis zucchinis martinis no weenies just the king and a queenie katy my lady yeah lookie here baby uhhuh i'm all up on ya 'cause you representin' california ohoh yeah   katy perry  snoop dogg california girls we're unforgettable daisy dukes bikinis on top sunkissed skin so hot we'll melt your popsicle ohohohohoh ohohohohohohoh come on come on california girls we're undeniable fine fresh fierce we got it on lock west coast represent west coast west coast now put your hands up aye aye ohohohohoh ohohohohohohoh   snoop dogg  katy perry california california girls california girls man california hahahaha california girls i really wish you all could be california girls
543,Katy Perry,Smile,Smile (Fan Edition),2020,2020-07-10,yeah i'm thankful scratch that baby i'm grateful gotta say it's really been a while but now i got back that smile smile i'm so thankful scratch that baby i'm grateful now you see me shine from a mile finally got back that smile smile   every day groundhog day goin' through motions felt so fake not myself not my best felt like i failed the test  pre but every tear has been a lesson rejection can be god's protection long hard road to get that redemption but no shortcuts to a blessin'   yeah i'm thankful scratch that baby i'm grateful gotta say it's really been a while but now i got back that smile smile i'm so thankful scratch that baby i'm grateful now you see me shine from a mile finally got back that smile smile   i'm 0 remodeled used to be dull now i sparkle had a piece of humble pie that ego check saved my life  pre now i got a smile like lionel richie big and bright need shades just to see me tryna stay alive just like i'm the bee gees oh woah a mona lisa masterpiece now i'm   yeah i'm thankful scratch that baby i'm grateful gotta say it's really been a while but now i got back that smile c'mon smile woo i'm so thankful scratch that baby i'm grateful so grateful now you see me shine from a mile finally got back that smile smile oh oh   i'm so thankful 'cause i finally 'cause i finally i'm so grateful 'cause i finally 'cause i finally oh   yeah i'm thankful scratch that baby i'm grateful gotta say it's really been a while but now i got back that smile woo smile i'm so thankful scratch that baby i'm grateful now you see me shine from a mile finally got back that smile smile oh oh   i'm so thankful 'cause i finally 'cause i finally smile oh i'm so grateful 'cause i finally 'cause i finally smile oh oh
544,Katy Perry,Daisies,Smile (Fan Edition),2020,2020-05-15,told them your dreams and they all started laughing i guess you're out of your mind 'til it actually happens  pre i'm the small town one in seven billion why can't it be me   they told me i was out there tried to knock me down took those sticks and stones showed 'em i could build a house they tell me that i'm crazy but i'll never let 'em change me 'til they cover me in daisies daisies daisies they said i'm going nowhere tried to count me out took those sticks and stones showed 'em i could build a house they tell me that i'm crazy but i'll never let 'em change me 'til they cover me in daisies daisies daisies   when did we all stop believing in magic why did we put all our hopes in a box in the attic  pre i'm the long shot i'm the hail mary why can't it be me   they told me i was out there tried to knock me down knock me down took those sticks and stones showed 'em i could build a house they tell me that i'm crazy but i'll never let 'em change me 'til they cover me in daisies daisies daisies they said i'm going nowhere tried to count me out took those sticks and stones showed 'em i could build a house they tell me that i'm crazy but i'll never let 'em change me 'til they cover me in daisies daisies daisies   hey hey oh cover me in daisies hey hey  pre i'm the small town one in seven billion why can't it be me   they told me i was out there tried to knock me down took those sticks and stones showed 'em i could build a house they tell me that i'm crazy but i'll never let 'em change me 'til they cover me in daisies daisies daisies they said i'm going nowhere tried to count me out count me out took those sticks and stones showed 'em i could build a house they tell me that i'm crazy but i'll never let 'em change me 'til they cover me in daisies daisies daisies
